Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides YAL6Bproteome	Razor + unique peptides YAL6Bproteome	Unique peptides YAL6Bproteome	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Q-value	Score	Sequence coverage YAL6Bproteome [%]	Intensity	Intensity YAL6Bproteome	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
YJR002W	YJR002W	17	17	17	>YJR002W pep:known chromosome:R64-1-1:X:438865:440646:1 gene:YJR002W transcript:YJR002W description:Component of the SSU processome and 90S preribosome, required for pre-18S rRNA processing, interacts with and controls the stability of Imp3p and Imp4p, es	1	17	17	17	17	17	17	35.4	35.4	35.4	66.952	593	593	5.5	3		1	1	4	21	6		0	116.6	35.4	3227500000	3227500000	35				1899	642;1238;2754;10041;16860;18555;18787;20086;20468;21489;21789;23503;23843;24152;24273;24274;26477	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	684;1324;2910;10522;17598;19532;19774;21145;21541;22602;22919;24707;25067;25387;25509;25510;27834	2103;3934;8319;8320;28638;47124;51501;51502;51503;52098;52099;55392;55393;56271;56272;56273;56274;58993;59884;59885;59886;59887;64696;65550;65551;66251;66252;66253;66254;66548;66549;66550;73039;73040;73041;73042	2583;4621;9573;9574;32906;53664;58403;58404;58405;59058;59059;62760;62761;63690;63691;63692;63693;66665;67735;67736;67737;67738;73266;74184;74185;74935;74936;74937;74938;75286;75287;75288;82612;82613;82614;82615	2583;4621;9574;32906;53664;58404;59058;62761;63692;66665;67737;73266;74184;74937;75287;75288;82612		
YJR003C	YJR003C	4	4	4	>YJR003C pep:known chromosome:R64-1-1:X:440994:442553:-1 gene:YJR003C transcript:YJR003C description:Putative protein of unknown function\x3b detected in highly purified mitochondria in high-throughput studies\x3b predicted to be involved in ribosome biog	1	4	4	4	4	4	4	12.5	12.5	12.5	59.765	519	519	5					4				0	18.102	12.5	223730000	223730000	4				1900	11743;11883;12617;15474	True;True;True;True	12280;12424;13187;16157	33188;33499;35719;43298	38002;38337;40907;49282	38002;38337;40907;49282		
YJR005W	YJR005W	3	3	3	>YJR005W pep:known chromosome:R64-1-1:X:445923:448025:1 gene:YJR005W transcript:YJR005W description:Beta-adaptin, large subunit of the clathrin associated protein complex (AP-2)\x3b involved in vesicle mediated transport\x3b similar to mammalian beta-chai	1	3	3	3	3	3	3	6	6	6	80.452	700	700	6						3			0	27.871	6	119180000	119180000	3				1901	5387;8028;10097	True;True;True	5643;8393;10579	15232;22478;28755	17354;25533;33029	17354;25533;33029		
YJR006W	YJR006W	2	2	2	>YJR006W pep:known chromosome:R64-1-1:X:449202:450665:1 gene:YJR006W transcript:YJR006W description:Subunit of DNA polymerase delta (polymerase III)\x3b essential for cell viability\x3b involved in DNA replication and DNA repair	1	2	2	2	2	2	2	2.9	2.9	2.9	55.295	487	487	5					2				0.0098786	1.4923	2.9	86848000	86848000	2				1902	3445;18502	True;True	3635;19477	10073;51377	11532;58271	11532;58271		
YJR007W	YJR007W	16	16	16	>YJR007W pep:known chromosome:R64-1-1:X:451020:451934:1 gene:YJR007W transcript:YJR007W description:Alpha subunit of the translation initiation factor eIF2, involved in the identification of the start codon\x3b phosphorylation of Ser51 is required for reg	1	16	16	16	16	16	16	59.2	59.2	59.2	34.717	304	304	3.66	3	5	31	14	5	2	1	4	0	242.83	59.2	25890000000	25890000000	77				1903	1958;6921;7483;8463;9413;12251;16402;16758;18085;21725;22069;22517;24712;25678;26804;29658	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2083;7240;7827;8848;9858;12806;17124;17493;19042;22847;23205;23668;23669;23670;25965;26989;28184;31180;31181	6296;6297;6298;19420;19421;19422;19423;19424;19425;20955;20956;20957;23668;23669;23670;26671;26672;34580;34581;34582;45804;46843;46844;46845;46846;46847;50393;50394;59724;59725;59726;59727;59728;60581;60582;60583;60584;60585;60586;61716;61717;61718;61719;61720;61721;61722;61723;61724;67694;67695;67696;70682;70683;70684;70685;73852;73853;73854;73855;73856;73857;73858;82607;82608;82609	7323;7324;7325;22108;22109;22110;22111;22112;22113;23852;23853;23854;26827;26828;26829;30581;30582;39586;39587;39588;52107;53357;53358;53359;53360;53361;57215;57216;67562;67563;67564;67565;67566;68520;68521;68522;68523;68524;68525;69771;69772;69773;69774;69775;69776;69777;69778;69779;69780;76549;76550;76551;79990;79991;79992;79993;83482;83483;83484;83485;83486;83487;83488;83489;93696;93697;93698;93699;93700;93701;93702;93703;93704;93705;93706;93707;93708;93709;93710	7323;22109;23853;26827;30582;39588;52107;53359;57215;67566;68522;69779;76549;79993;83482;93698	909;910;911	211;216;266
YJR009C	YJR009C	23	5	4	>YJR009C pep:known chromosome:R64-1-1:X:453683:454681:-1 gene:YJR009C transcript:YJR009C description:Glyceraldehyde-3-phosphate dehydrogenase, isozyme 2, involved in glycolysis and gluconeogenesis\x3b tetramer that catalyzes the reaction of glyceraldehyde	1	23	5	4	23	5	4	86.7	35.8	28.6	35.846	332	332	3.54	8	9	34	21	7	7	2	2	0	323.31	86.7	48305000000	48305000000	144				1904	1878;4079;5142;5143;6206;6207;9319;9710;9711;9737;10354;12521;13751;15707;16647;16969;16970;19484;26766;27798;28035;28919;29495	False;False;False;False;False;False;True;False;False;True;True;False;False;False;False;False;False;True;False;True;False;False;False	2001;4288;5389;5390;6502;6503;9756;10170;10171;10197;10846;13085;14352;14353;14354;16405;17380;17381;17711;17712;20507;20508;28144;29231;29232;29233;29478;30404;30405;30406;31014	6037;6038;11557;11558;11559;11560;11561;11562;11563;11564;11565;11566;11567;11568;11569;11570;11571;11572;11573;11574;11575;11576;11577;11578;11579;11580;11581;11582;11583;11584;11585;11586;11587;11588;11589;11590;11591;11592;14628;14629;14630;14631;14632;14633;14634;17331;17332;17333;17334;17335;17336;17337;17338;17339;17340;17341;17342;17343;17344;17345;17346;17347;17348;17349;17350;17351;17352;17353;17354;17355;17356;17357;26353;26354;26355;26356;26357;26358;26359;26360;26361;26362;26363;26364;26365;26366;26367;26368;26369;26370;26371;26372;26373;27625;27626;27627;27628;27629;27630;27631;27632;27633;27634;27635;27636;27637;27638;27639;27640;27732;27733;27734;27735;27736;27737;27738;27739;27740;27741;27742;27743;27744;27745;27746;27747;27748;27749;27750;29539;29540;29541;29542;29543;29544;29545;29546;29547;29548;29549;35377;35378;35379;35380;35381;35382;35383;35384;35385;35386;35387;35388;35389;35390;35391;35392;35393;35394;35395;35396;38588;38589;38590;38591;38592;38593;38594;38595;38596;38597;38598;38599;38600;38601;38602;38603;38604;38605;38606;38607;38608;38609;38610;38611;38612;38613;43851;46491;46492;46493;46494;46495;46496;46497;46498;46499;46500;46501;46502;46503;46504;46505;46506;46507;46508;46509;46510;46511;46512;46513;46514;46515;46516;46517;46518;46519;46520;46521;46522;46523;46524;46525;46526;46527;46528;46529;46530;46531;46532;46533;46534;46535;46536;46537;46538;46539;46540;46541;46542;46543;46544;46545;46546;46547;46548;46549;46550;46551;46552;46553;46554;46555;46556;46557;46558;46559;46560;46561;46562;46563;46564;46565;46566;46567;46568;46569;46570;46571;46572;46573;46574;46575;46576;46577;46578;46579;47430;47431;47432;47433;47434;47435;47436;47437;47438;47439;47440;47441;47442;47443;47444;47445;47446;47447;47448;47449;47450;47451;47452;47453;47454;47455;47456;47457;47458;47459;47460;47461;47462;47463;53860;53861;53862;53863;53864;53865;53866;53867;53868;53869;53870;53871;73739;73740;73741;73742;73743;73744;73745;73746;73747;73748;73749;73750;73751;73752;76827;76828;76829;76830;76831;76832;76833;76834;76835;76836;76837;76838;76839;76840;76841;76842;76843;76844;76845;76846;76847;76848;76849;76850;76851;76852;76853;77556;77557;77558;77559;77560;77561;77562;77563;80278;80279;80280;80281;80282;80283;80284;80285;80286;80287;80288;80289;80290;80291;80292;80293;80294;80295;80296;80297;80298;80299;80300;80301;80302;80303;80304;80305;80306;80307;80308;80309;80310;80311;80312;80313;80314;80315;80316;80317;80318;80319;80320;80321;80322;80323;80324;80325;82083;82084;82085;82086;82087;82088;82089;82090;82091;82092;82093;82094;82095;82096;82097;82098;82099;82100;82101;82102;82103;82104;82105;82106;82107;82108;82109;82110;82111;82112;82113;82114;82115;82116;82117	7020;7021;13124;13125;13126;13127;13128;13129;13130;13131;13132;13133;13134;13135;13136;13137;13138;13139;13140;13141;13142;13143;13144;13145;13146;13147;13148;13149;13150;13151;13152;13153;13154;13155;13156;13157;13158;13159;13160;13161;13162;13163;13164;13165;13166;13167;13168;13169;13170;13171;13172;13173;13174;13175;13176;13177;13178;13179;13180;13181;13182;13183;13184;13185;13186;13187;13188;13189;13190;13191;13192;13193;13194;13195;13196;13197;13198;13199;13200;13201;16704;16705;16706;16707;16708;16709;16710;19703;19704;19705;19706;19707;19708;19709;19710;19711;19712;19713;19714;19715;19716;19717;19718;19719;19720;19721;19722;19723;19724;19725;19726;19727;19728;19729;19730;19731;19732;19733;19734;19735;19736;19737;19738;19739;19740;19741;30191;30192;30193;30194;30195;30196;30197;30198;30199;30200;30201;30202;30203;30204;30205;30206;30207;30208;30209;30210;30211;30212;30213;30214;30215;30216;30217;30218;30219;30220;30221;30222;30223;30224;30225;30226;30227;30228;30229;30230;30231;30232;30233;30234;30235;30236;30237;31711;31712;31713;31714;31715;31716;31717;31718;31719;31720;31721;31722;31723;31724;31725;31726;31727;31728;31729;31842;31843;31844;31845;31846;31847;31848;31849;31850;31851;31852;31853;31854;31855;31856;31857;31858;31859;31860;31861;31862;31863;31864;31865;31866;31867;31868;31869;31870;31871;33929;33930;33931;33932;33933;33934;33935;33936;33937;33938;33939;33940;33941;33942;33943;33944;33945;33946;33947;33948;33949;33950;33951;33952;33953;33954;40477;40478;40479;40480;40481;40482;40483;40484;40485;40486;40487;40488;40489;40490;40491;40492;40493;40494;40495;40496;40497;40498;40499;40500;40501;40502;40503;40504;40505;40506;40507;40508;40509;40510;40511;40512;40513;40514;40515;40516;40517;40518;40519;40520;40521;40522;44111;44112;44113;44114;44115;44116;44117;44118;44119;44120;44121;44122;44123;44124;44125;44126;44127;44128;44129;44130;44131;44132;44133;44134;44135;44136;44137;49873;52880;52881;52882;52883;52884;52885;52886;52887;52888;52889;52890;52891;52892;52893;52894;52895;52896;52897;52898;52899;52900;52901;52902;52903;52904;52905;52906;52907;52908;52909;52910;52911;52912;52913;52914;52915;52916;52917;52918;52919;52920;52921;52922;52923;52924;52925;52926;52927;52928;52929;52930;52931;52932;52933;52934;52935;52936;52937;52938;52939;52940;52941;52942;52943;52944;52945;52946;52947;52948;52949;52950;52951;52952;52953;52954;52955;52956;52957;52958;52959;52960;52961;52962;52963;52964;52965;52966;52967;52968;52969;52970;52971;52972;52973;52974;52975;52976;52977;52978;52979;52980;52981;52982;52983;52984;52985;52986;52987;52988;52989;52990;52991;52992;52993;52994;52995;52996;52997;52998;52999;53000;53001;53002;53003;53004;53005;53006;53007;53008;53009;53010;53011;53012;53013;53014;53015;53016;53017;53018;53019;53020;53021;53022;53023;53024;53025;53026;53027;53028;53029;53030;53031;53032;53033;53034;53035;53036;53037;53038;53039;53040;53041;53042;53043;53044;53045;53046;53047;53048;53049;53050;53051;53052;53053;53054;53055;53056;53057;53058;53059;53060;53061;53062;53063;53064;53065;53066;53067;53068;53069;53070;53071;53072;53073;53074;53075;53076;54013;54014;54015;54016;54017;54018;54019;54020;54021;54022;54023;54024;54025;54026;54027;54028;54029;54030;54031;54032;54033;54034;54035;54036;54037;54038;54039;54040;54041;54042;54043;54044;54045;54046;54047;54048;61084;61085;61086;61087;61088;61089;61090;61091;61092;61093;61094;61095;83347;83348;83349;83350;83351;83352;83353;83354;83355;83356;83357;83358;83359;83360;83361;83362;83363;83364;83365;83366;83367;83368;86905;86906;86907;86908;86909;86910;86911;86912;86913;86914;86915;86916;86917;86918;86919;86920;86921;86922;86923;86924;86925;86926;86927;86928;86929;86930;86931;86932;86933;87804;87805;87806;87807;87808;87809;87810;87811;87812;87813;87814;87815;87816;90993;90994;90995;90996;90997;90998;90999;91000;91001;91002;91003;91004;91005;91006;91007;91008;91009;91010;91011;91012;91013;91014;91015;91016;91017;91018;91019;91020;91021;91022;91023;91024;91025;91026;91027;91028;91029;91030;91031;91032;91033;91034;91035;91036;91037;91038;91039;91040;91041;91042;91043;91044;91045;91046;91047;91048;91049;93087;93088;93089;93090;93091;93092;93093;93094;93095;93096;93097;93098;93099;93100;93101;93102;93103;93104;93105;93106;93107;93108;93109;93110;93111;93112;93113;93114;93115;93116;93117;93118;93119;93120;93121;93122;93123;93124;93125;93126;93127;93128;93129;93130;93131;93132;93133;93134;93135;93136;93137;93138;93139;93140;93141;93142;93143;93144;93145;93146;93147;93148;93149;93150;93151;93152;93153;93154;93155;93156;93157	7021;13182;16705;16709;19704;19731;30194;31713;31725;31869;33932;40477;44126;49873;52945;54020;54043;61094;83347;86926;87806;91045;93087	694;695;696;869;870;912	44;128;131;173;179;229
YJR010C-A	YJR010C-A	2	2	2	>YJR010C-A pep:known chromosome:R64-1-1:X:458077:458361:-1 gene:YJR010C-A transcript:YJR010C-A description:Subunit of the signal peptidase complex (SPC), which cleaves the signal sequence from proteins targeted to the endoplasmic reticulum (ER), homolog o	1	2	2	2	2	2	2	20.2	20.2	20.2	10.819	94	94	1	2								0.0032042	2.0126	20.2	127710000	127710000	2				1905	16284;16824	True;True	17001;17560	45467;47030	51723;53563	51723;53563		
YJR014W	YJR014W	12	12	12	>YJR014W pep:known chromosome:R64-1-1:X:461829:462425:1 gene:YJR014W transcript:YJR014W description:Protein of unknown function\x3b associates with ribosomes and has a putative RNA binding domain\x3b interacts with Tma20p\x3b similar to human GRAP and hum	1	12	12	12	12	12	12	68.2	68.2	68.2	22.495	198	198	2.48	4	23	8	3	1			1	0	175.58	68.2	9406800000	9406800000	42				1906	12817;13107;13385;13510;13906;17084;17503;19899;25395;27376;27377;29015	True;True;True;True;True;True;True;True;True;True;True;True	13394;13395;13691;13977;14104;14516;17828;18358;18359;20950;26687;28786;28787;30505	36321;36322;37024;37025;37026;37027;37665;37977;37978;37979;37980;37981;37982;37983;37984;39063;39064;39065;39066;39067;39068;39069;47736;47737;47738;48840;48841;54944;54945;69716;69717;69718;69719;69720;75621;75622;75623;80642;80643;80644	41605;41606;42391;42392;42393;42394;43084;43438;43439;43440;43441;43442;43443;43444;43445;44623;44624;44625;44626;44627;44628;44629;54337;54338;54339;55525;55526;55527;62261;62262;78836;78837;78838;78839;78840;85533;85534;85535;91397;91398;91399;91400;91401	41606;42393;43084;43439;44624;54339;55525;62261;78839;85533;85534;91398	913;914	1;159
YJR016C	YJR016C	19	19	19	>YJR016C pep:known chromosome:R64-1-1:X:464451:466208:-1 gene:YJR016C transcript:YJR016C description:Dihydroxyacid dehydratase, catalyzes third step in the common pathway leading to biosynthesis of branched-chain amino acids	1	19	19	19	19	19	19	54.5	54.5	54.5	62.86	585	585	5.21	4	3	7	6	39	24	12	6	0	323.31	54.5	47599000000	47599000000	107				1907	1172;1216;4192;8906;8907;8960;10492;12701;13449;13886;13887;16459;16956;18439;20639;26092;30034;30363;30462	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1255;1256;1302;4406;9314;9315;9373;10988;13274;14041;14494;14495;17189;17698;19414;21717;27422;27423;31571;31572;31573;31914;32019;32020	3741;3742;3743;3744;3745;3746;3747;3888;3889;3890;3891;3892;11934;11935;11936;24906;24907;24908;24909;24910;24911;24912;24913;24914;24915;24916;25124;25125;25126;25127;29924;29925;29926;29927;29928;29929;29930;36000;36001;36002;37807;37808;37809;37810;38986;38987;38988;38989;38990;38991;38992;38993;38994;45977;45978;45979;45980;45981;45982;47379;47380;51241;51242;51243;56709;56710;56711;56712;56713;56714;56715;56716;56717;71840;71841;71842;71843;71844;71845;71846;71847;71848;71849;71850;71851;83652;83653;83654;83655;83656;83657;83658;83659;84546;84547;84548;84801;84802;84803;84804;84805	4403;4404;4405;4406;4407;4408;4409;4410;4411;4575;4576;4577;4578;4579;13624;13625;13626;28235;28236;28237;28238;28239;28240;28241;28242;28243;28244;28245;28246;28526;28527;28528;28529;34423;34424;34425;34426;34427;34428;34429;34430;41244;41245;41246;41247;41248;43236;43237;43238;43239;44539;44540;44541;44542;44543;44544;44545;44546;44547;52306;52307;52308;52309;52310;52311;53953;53954;58131;58132;58133;64151;64152;64153;64154;64155;64156;64157;64158;64159;64160;64161;81248;81249;81250;81251;81252;81253;81254;81255;81256;81257;81258;81259;94836;94837;94838;94839;94840;94841;94842;94843;95880;95881;95882;96150;96151;96152;96153;96154	4406;4576;13624;28235;28242;28527;34428;41247;43238;44543;44546;52307;53953;58132;64153;81252;94842;95881;96154	915;916;917;918;919;920	93;106;269;341;362;368
YJR017C	YJR017C	10	10	10	>YJR017C pep:known chromosome:R64-1-1:X:466521:467033:-1 gene:YJR017C transcript:YJR017C description:Peptidylprolyl-cis/trans-isomerase (PPIase) specific for phosphorylated serine and threonine residues N-terminal to proline\x3b regulates phosphorylation 	1	10	10	10	10	10	10	77.6	77.6	77.6	19.404	170	170	1.46	21	12	2						0	174.93	77.6	6709100000	6709100000	36				1908	3746;5951;10077;13550;19710;21154;21260;25937;26211;27528	True;True;True;True;True;True;True;True;True;True	3942;6236;10559;14144;20752;20753;22252;22361;22362;27258;27556;28947	10767;10768;10769;10770;10771;16682;16683;16684;28724;28725;28726;28727;38058;38059;38060;38061;38062;54481;54482;54483;54484;58027;58028;58314;58315;58316;58317;71400;71401;71402;72144;76007;76008;76009;76010	12268;12269;12270;12271;12272;18990;18991;18992;32995;32996;32997;32998;43524;43525;43526;43527;43528;43529;61773;61774;61775;61776;65586;65587;65896;65897;65898;65899;80771;80772;80773;81582;85968;85969;85970;85971	12269;18991;32995;43528;61774;65587;65897;80772;81582;85969	921	137
YJR019C	YJR019C	5	5	5	>YJR019C pep:known chromosome:R64-1-1:X:467232:468281:-1 gene:YJR019C transcript:YJR019C description:Peroxisomal acyl-CoA thioesterase likely to be involved in fatty acid oxidation rather than fatty acid synthesis\x3b conserved protein also found in human	1	5	5	5	5	5	5	18.6	18.6	18.6	40.259	349	349	3			9						0	15.283	18.6	365900000	365900000	8				1909	9699;12118;16507;20772;28513	True;True;True;True;True	10159;12672;17238;21853;29975	27596;27597;34260;34261;34262;46124;57064;79026;79027	31682;31683;39228;39229;39230;52494;64549;89529;89530	31682;39230;52494;64549;89530		
YJR022W	YJR022W	2	2	2	>YJR022W pep:known chromosome:R64-1-1:X:469784:470113:1 gene:YJR022W transcript:YJR022W description:Lsm (Like Sm) protein\x3b forms heteroheptameric complex (with Lsm2p, Lsm3p, Lsm4p, Lsm5p, Lsm6p, and Lsm7p) that is part of spliceosomal U6 snRNP and is a	1	2	2	2	2	2	2	22.9	22.9	22.9	12.385	109	109	1	2								0	81.709	22.9	115960000	115960000	2				1910	10623;19419	True;True	11121;20438	30225;53694	34757;60895	34757;60895		
YJR024C	YJR024C	8	8	8	>YJR024C pep:known chromosome:R64-1-1:X:470230:470964:-1 gene:YJR024C transcript:YJR024C description:5-methylthioribulose-1-phosphate dehydratase\x3b acts in the methionine salvage pathway\x3b potential Smt3p sumoylation substrate\x3b expression downregu	1	8	8	8	8	8	8	68.4	68.4	68.4	27.427	244	244	2		8							0	105.99	68.4	835630000	835630000	8				1911	3466;4130;11727;13439;17418;17853;19942;24452	True;True;True;True;True;True;True;True	3657;4344;12263;14031;18248;18805;20995;25694	10118;11774;33151;37785;48625;49862;55042;67012	11579;13457;37959;43212;55300;56642;62369;75801	11579;13457;37959;43212;55300;56642;62369;75801	922	148
